step,top_1_accuracy,top_3_accuracy
3196,0.3361999988555908,0.6858000159263611
4463,0.429500013589859,0.7639999985694885
6102,0.44519999623298645,0.7954000234603882
7705,0.4742000102996826,0.8080000281333923
9519,0.4699999988079071,0.8154000043869019
11109,0.5020999908447266,0.8356999754905701
12711,0.5277000069618225,0.8432000279426575
14304,0.5152000188827515,0.840499997138977
15908,0.5378999710083008,0.8611999750137329
17505,0.5120000243186951,0.8237000107765198
19316,0.5418000221252441,0.8510000109672546
21137,0.5220000147819519,0.8373000025749207
22744,0.5722000002861023,0.8701000213623047
24349,0.5392000079154968,0.8507000207901001
26229,0.5730000138282776,0.8619999885559082
27896,0.5389999747276306,0.85589998960495
29778,0.5885000228881836,0.8664000034332275
31527,0.5971999764442444,0.8733999729156494
33206,0.5655999779701233,0.8549000024795532
35074,0.6007000207901001,0.8773000240325928
36774,0.5885999798774719,0.8723999857902527
38446,0.6269000172615051,0.8833000063896179
40150,0.6007000207901001,0.8797000050544739
42033,0.6403999924659729,0.8991000056266785
43911,0.6351000070571899,0.8751000165939331
45665,0.5728999972343445,0.8672000169754028
47653,0.6438999772071838,0.8939999938011169
49670,0.6093999743461609,0.8799999952316284
51365,0.5983999967575073,0.8532999753952026
54068,0.5566999912261963,0.8295000195503235
55966,0.6456999778747559,0.8950999975204468
57649,0.6262999773025513,0.8797000050544739
59354,0.6780999898910522,0.90829998254776
61294,0.5787000060081482,0.8565000295639038
63259,0.6639000177383423,0.8967000246047974
64954,0.6434999704360962,0.8784000277519226
66645,0.6417999863624573,0.9128999710083008
68531,0.6974999904632568,0.9197999835014343
70127,0.6843000054359436,0.9061999917030334
71735,0.6811000108718872,0.8998000025749207
73360,0.5975000262260437,0.8526999950408936
74964,0.5920000076293945,0.866100013256073
76566,0.7175999879837036,0.9251000285148621
78166,0.7124000191688538,0.9205999970436096
79760,0.6474999785423279,0.8848999738693237
81567,0.7197999954223633,0.9225000143051147
83374,0.6931999921798706,0.9107999801635742
84968,0.7069000005722046,0.9190000295639038
86601,0.6498000025749207,0.8925999999046326
88188,0.6980999708175659,0.9049000144004822
90003,0.6942999958992004,0.9150000214576721
91603,0.614300012588501,0.8845999836921692
93198,0.710099995136261,0.9254000186920166
94803,0.6610999703407288,0.8876000046730042
96402,0.7069000005722046,0.9258000254631042
97994,0.7081000208854675,0.9178000092506409
99618,0.6998999714851379,0.9111999869346619
101212,0.6815000176429749,0.9107999801635742
102817,0.704200029373169,0.9162999987602234
104406,0.7404000163078308,0.9362999796867371
106006,0.6880999803543091,0.9140999913215637
107626,0.7045999765396118,0.9115999937057495
109236,0.6944000124931335,0.9038000106811523
110882,0.7106000185012817,0.9146999716758728
112484,0.7217000126838684,0.9380999803543091
114383,0.7117999792098999,0.913100004196167
116381,0.7289000153541565,0.9247000217437744
118258,0.7195000052452087,0.9286999702453613
119946,0.7451000213623047,0.9330000281333923
121632,0.7081999778747559,0.92330002784729
123324,0.7103999853134155,0.9175999760627747
125098,0.755299985408783,0.9358999729156494
126775,0.7505999803543091,0.9399999976158142
128465,0.7228999733924866,0.9218000173568726
130172,0.7638999819755554,0.9373000264167786
131854,0.7419000267982483,0.9344000220298767
133538,0.7603999972343445,0.9419999718666077
135222,0.7849000096321106,0.9490000009536743
137086,0.7490000128746033,0.9404000043869019
138854,0.7800999879837036,0.9470999836921692
141018,0.761900007724762,0.9415000081062317
143189,0.7608000040054321,0.9424999952316284
145143,0.7904999852180481,0.9517999887466431
147094,0.7511000037193298,0.942300021648407
149047,0.7872999906539917,0.9549999833106995
150984,0.7763000130653381,0.9405999779701233
153124,0.7968999743461609,0.954200029373169
155463,0.7688000202178955,0.9386000037193298
157471,0.786899983882904,0.9538000226020813
159709,0.7802000045776367,0.9477999806404114
161736,0.7639999985694885,0.9459999799728394
163739,0.7954000234603882,0.9502000212669373
166075,0.7387999892234802,0.9340999722480774
168121,0.7649000287055969,0.9419999718666077
170399,0.7996000051498413,0.9560999870300293
172406,0.7994999885559082,0.9580000042915344
174414,0.7731000185012817,0.9488000273704529
176466,0.7621999979019165,0.9359999895095825
178474,0.7702999711036682,0.9495000243186951
180485,0.7854999899864197,0.9520999789237976
182832,0.7817999720573425,0.9520999789237976
184737,0.7531999945640564,0.9375
186702,0.7817000150680542,0.9513000249862671
188395,0.7854999899864197,0.9571999907493591
190102,0.7944999933242798,0.9531999826431274
191777,0.7922999858856201,0.9577999711036682
193467,0.8054999709129333,0.9567999839782715
195161,0.8130999803543091,0.9621999859809875
196982,0.7911999821662903,0.9503999948501587
198887,0.8026999831199646,0.9598000049591064
200438,0.7343999743461609,0.9362999796867371
202208,0.8037999868392944,0.9591000080108643
203778,0.8051000237464905,0.960099995136261
205334,0.8258000016212463,0.9631999731063843
206888,0.8093000054359436,0.9578999876976013
208454,0.809499979019165,0.9621999859809875
210207,0.8025000095367432,0.9502999782562256
211971,0.8165000081062317,0.9603999853134155
213529,0.8154000043869019,0.9606000185012817
215118,0.8066999912261963,0.9563000202178955
216669,0.8190000057220459,0.9652000069618225
218237,0.8112000226974487,0.9577999711036682
220009,0.8111000061035156,0.961899995803833
221562,0.796999990940094,0.9589999914169312
223125,0.808899998664856,0.9588000178337097
224670,0.8198999762535095,0.9650999903678894
226217,0.8176000118255615,0.9652000069618225
227774,0.8238999843597412,0.9642000198364258
229321,0.8258000016212463,0.9623000025749207
230869,0.8191999793052673,0.965499997138977
232399,0.8287000060081482,0.9666000008583069
233960,0.828000009059906,0.9674000144004822
235501,0.8105999827384949,0.9624000191688538
237044,0.8317999839782715,0.9686999917030334
238622,0.8181999921798706,0.9606999754905701
240381,0.8338000178337097,0.9668999910354614
241934,0.829200029373169,0.96670001745224
243772,0.8409000039100647,0.9706000089645386
245326,0.8235999941825867,0.9641000032424927
246889,0.8300999999046326,0.9660999774932861
248448,0.8270999789237976,0.9617000222206116
249999,0.8381999731063843,0.9695000052452087
251549,0.8384000062942505,0.9700000286102295
253104,0.828499972820282,0.9617999792098999
254653,0.8490999937057495,0.9708999991416931
256410,0.8482999801635742,0.9696000218391418
257952,0.8156999945640564,0.9660999774932861
259508,0.8438000082969666,0.9700999855995178
261258,0.8536999821662903,0.9708999991416931
262815,0.8377000093460083,0.970300018787384
264384,0.840499997138977,0.9685999751091003
266114,0.8497999906539917,0.9700000286102295
267855,0.8396999835968018,0.9703999757766724
269404,0.847100019454956,0.9710999727249146
270953,0.8389000296592712,0.97079998254776
272502,0.8450999855995178,0.9724000096321106
274057,0.8475000262260437,0.9688000082969666
275916,0.8492000102996826,0.9714999794960022
277485,0.8396000266075134,0.9679999947547913
279039,0.8507999777793884,0.9732999801635742
280583,0.8424000144004822,0.9708999991416931
282329,0.8578000068664551,0.9735999703407288
283868,0.8482999801635742,0.9742000102996826
285618,0.8589000105857849,0.9740999937057495
287165,0.868399977684021,0.9763000011444092
288721,0.8611999750137329,0.9729999899864197
290265,0.8632000088691711,0.9740999937057495
292104,0.8648999929428101,0.9726999998092651
293971,0.8568000197410583,0.9753000140190125
297424,0.86080002784729,0.9750000238418579
300870,0.8655999898910522,0.9758999943733215
305256,0.8654999732971191,0.9761000275611877
308745,0.8618999719619751,0.9745000004768372
312298,0.8669000267982483,0.9761000275611877
315745,0.8665000200271606,0.9763000011444092
318448,0.8687000274658203,0.975600004196167
320011,0.8616999983787537,0.9742000102996826
321592,0.8694000244140625,0.9772999882698059
323149,0.8596000075340271,0.9765999913215637
324701,0.873199999332428,0.9775000214576721
326253,0.8695999979972839,0.9746000170707703
327820,0.8626999855041504,0.9750000238418579
329389,0.8762000203132629,0.9793999791145325
330971,0.8817999958992004,0.979200005531311
332537,0.8799999952316284,0.9785000085830688
334078,0.8769999742507935,0.9769999980926514
335637,0.8772000074386597,0.9782999753952026
337224,0.8751000165939331,0.9789999723434448
338789,0.8783000111579895,0.9771000146865845
340350,0.8776000142097473,0.9775999784469604
341919,0.8780999779701233,0.9790999889373779
343473,0.8809000253677368,0.9786999821662903
345031,0.885200023651123,0.9801999926567078
346579,0.8809000253677368,0.9810000061988831
348134,0.8809999823570251,0.9796000123023987
349725,0.8784999847412109,0.9805999994277954
351301,0.8838000297546387,0.9805999994277954
352843,0.8873000144958496,0.9812999963760376
354386,0.880299985408783,0.9800999760627747
356138,0.8888999819755554,0.9811000227928162
357736,0.8920999765396118,0.9799000024795532
359317,0.885699987411499,0.9807000160217285
360877,0.8884999752044678,0.9805999994277954
362449,0.8885999917984009,0.9810000061988831
364056,0.8889999985694885,0.9815000295639038
365613,0.8920000195503235,0.9812999963760376
367169,0.890500009059906,0.9829000234603882
368736,0.8881999850273132,0.9821000099182129
370317,0.8899000287055969,0.9799000024795532
371887,0.8903999924659729,0.982200026512146
373432,0.8934999704360962,0.982200026512146
374996,0.8913000226020813,0.9828000068664551
376552,0.8937000036239624,0.9817000031471252
378106,0.8938000202178955,0.982200026512146
379661,0.892300009727478,0.9821000099182129
381218,0.8888000249862671,0.9819999933242798
382772,0.8945000171661377,0.9818999767303467
384324,0.8942000269889832,0.9842000007629395
385888,0.895799994468689,0.9842000007629395
387447,0.8973000049591064,0.9832000136375427
389003,0.895799994468689,0.9835000038146973
390556,0.8978999853134155,0.9818999767303467
392119,0.8973000049591064,0.982200026512146
393656,0.9004999995231628,0.9837999939918518
395215,0.8995000123977661,0.9839000105857849
396769,0.9003000259399414,0.9836000204086304
398321,0.901199996471405,0.9835000038146973
399887,0.9021000266075134,0.9835000038146973
401446,0.9013000130653381,0.9837999939918518
403001,0.9031999707221985,0.984499990940094
404563,0.9020000100135803,0.9840999841690063
406115,0.9010999798774719,0.9846000075340271
407667,0.9006999731063843,0.9837999939918518
409215,0.9010000228881836,0.9843000173568726
410778,0.9023000001907349,0.984499990940094
412337,0.9013000130653381,0.9846000075340271
413895,0.9016000032424927,0.9850999712944031
415438,0.9017999768257141,0.9843000173568726
416984,0.900600016117096,0.9836000204086304
418533,0.9016000032424927,0.9846000075340271
420086,0.9016000032424927,0.9843999743461609
421631,0.9028000235557556,0.9843999743461609
423190,0.9023000001907349,0.9840999841690063
424735,0.9025999903678894,0.9846000075340271
426285,0.9023000001907349,0.9837999939918518
427847,0.902999997138977,0.9842000007629395
429388,0.902400016784668,0.9847999811172485
430922,0.9013000130653381,0.9843000173568726
432489,0.9027000069618225,0.9843000173568726
434052,0.9027000069618225,0.9843999743461609
