step,accuracy,time
0,0.5034000277519226,6.4034317334493
1,0.5867999792098999,4.003090778986613
2,0.617900013923645,4.1279605229695635
3,0.6492000222206116,4.535339991251628
4,0.6777999997138977,4.0880974133809405
5,0.6980999708175659,4.264235655466716
6,0.7172999978065491,4.503416061401367
7,0.7186999917030334,4.159372647603353
8,0.7324000000953674,4.2805070877075195
9,0.7472000122070312,4.277263800303142
10,0.7394999861717224,4.290176232655843
11,0.7612000107765198,4.1960296630859375
12,0.7591999769210815,4.706440289815267
13,0.7814000248908997,4.200431823730469
14,0.7791000008583069,4.0893449783325195
15,0.7630000114440918,4.64533011118571
16,0.7491000294685364,4.250073591868083
17,0.7523000240325928,4.160528341929118
18,0.7781999707221985,4.382441679636638
19,0.7993000149726868,4.267287413279216
20,0.7904000282287598,4.213189442952474
21,0.7626000046730042,4.427839279174805
22,0.7817000150680542,4.198242823282878
23,0.7975000143051147,4.185443878173828
24,0.8148999810218811,4.5131276448567705
25,0.8205000162124634,4.173564275105794
26,0.7616999745368958,4.100923220316569
27,0.8219000101089478,4.610447883605957
28,0.8245000243186951,4.3688710530598955
29,0.8108999729156494,4.134786605834961
30,0.823199987411499,4.324712594350179
31,0.843999981880188,4.276384194691976
32,0.8240000009536743,4.270755449930827
33,0.8044000267982483,4.308133602142334
34,0.8410000205039978,4.241999785105388
35,0.8252000212669373,4.189279397328694
36,0.8065999746322632,4.659037431081136
37,0.8040000200271606,4.156399726867676
38,0.8245999813079834,4.100666840871175
39,0.816100001335144,4.72641658782959
40,0.8363000154495239,4.239335060119629
41,0.8628000020980835,4.2088321050008135
42,0.8410999774932861,4.456119855244954
43,0.8420000076293945,4.314396063486735
44,0.8330000042915344,4.226977507273356
45,0.8373000025749207,4.4468817710876465
46,0.8252000212669373,4.089162985483806
47,0.8434000015258789,4.270771344502767
48,0.8532999753952026,4.365370909372966
49,0.8496000170707703,4.415983359018962
50,0.8492000102996826,4.071635087331136
51,0.8331000208854675,4.308492342631022
52,0.86080002784729,4.399161338806152
53,0.8623999953269958,4.202843189239502
54,0.853600025177002,4.473889191945394
55,0.85589998960495,4.396753629048665
56,0.8694999814033508,4.31449556350708
57,0.8762000203132629,4.589228630065918
58,0.8672999739646912,4.4749124844868975
59,0.8677999973297119,4.210475444793701
60,0.843999981880188,4.556183338165283
61,0.8791000247001648,4.222277323404948
62,0.8708000183105469,4.276655197143555
63,0.8493000268936157,4.334761778513591
64,0.8733000159263611,4.024341901143392
65,0.878000020980835,4.267906188964844
66,0.8805000185966492,4.567836284637451
67,0.8590999841690063,4.385480244954427
68,0.8700000047683716,4.167806307474772
69,0.8654999732971191,4.312711397806804
70,0.8593000173568726,4.167867660522461
71,0.8723999857902527,4.1725239753723145
72,0.8795999884605408,4.396912733713786
73,0.8795999884605408,4.261024475097656
74,0.8863999843597412,4.501988410949707
75,0.870199978351593,4.549776077270508
