step,top_1_accuracy,top_3_accuracy
1988,0.31200000643730164,0.6937000155448914
3706,0.39959999918937683,0.7511000037193298
5796,0.4316999912261963,0.7756999731063843
7872,0.45590001344680786,0.8080000281333923
9948,0.478300005197525,0.8134999871253967
12010,0.498199999332428,0.8185999989509583
14287,0.5101000070571899,0.8258000016212463
16542,0.5103999972343445,0.82669997215271
18844,0.5268999934196472,0.8507999777793884
20936,0.5400000214576721,0.8536999821662903
23266,0.5231000185012817,0.8452000021934509
25359,0.5365999937057495,0.8547000288963318
27715,0.555899977684021,0.8521000146865845
30112,0.5439000129699707,0.8652999997138977
32535,0.5597000122070312,0.8672999739646912
35117,0.5558000206947327,0.8600000143051147
37622,0.5583999752998352,0.864799976348877
40322,0.603600025177002,0.8611999750137329
42813,0.5763999819755554,0.8615000247955322
45502,0.5734000205993652,0.8668000102043152
47765,0.6273000240325928,0.8880000114440918
50023,0.5555999875068665,0.8475000262260437
52285,0.600600004196167,0.8707000017166138
54564,0.598800003528595,0.8888000249862671
56844,0.5860999822616577,0.8823000192642212
59221,0.6428999900817871,0.8859999775886536
61481,0.6226999759674072,0.8766999840736389
63751,0.6241000294685364,0.8924999833106995
66027,0.5853000283241272,0.8586999773979187
68271,0.6184999942779541,0.8812000155448914
70536,0.5400000214576721,0.7983999848365784
72801,0.6003999710083008,0.8853999972343445
75076,0.6079000234603882,0.8855000138282776
77475,0.6219000220298767,0.8833000063896179
79733,0.6424000263214111,0.8955000042915344
82028,0.6319000124931335,0.8894000053405762
84288,0.6518999934196472,0.9007999897003174
86555,0.6324999928474426,0.8935999870300293
88804,0.6815999746322632,0.911899983882904
91089,0.6784999966621399,0.9068999886512756
93459,0.6607000231742859,0.9078999757766724
95727,0.6601999998092651,0.9071000218391418
97980,0.6579999923706055,0.8880000114440918
100286,0.6259999871253967,0.8855000138282776
102580,0.7103000283241272,0.9272000193595886
104883,0.6772000193595886,0.9031000137329102
107130,0.7098000049591064,0.9215999841690063
109393,0.6995000243186951,0.9175999760627747
111741,0.6718999743461609,0.9031999707221985
114030,0.6984000205993652,0.9162999987602234
116324,0.6970999836921692,0.9136000275611877
118585,0.6420000195503235,0.8984000086784363
120864,0.7081000208854675,0.9217000007629395
123122,0.7228000164031982,0.9273999929428101
125370,0.705299973487854,0.9223999977111816
127657,0.6966999769210815,0.911899983882904
130044,0.7148000001907349,0.9251999855041504
132304,0.6798999905586243,0.9063000082969666
134610,0.7214000225067139,0.9218999743461609
136874,0.6970999836921692,0.9128000140190125
139135,0.6966999769210815,0.920199990272522
141660,0.7074999809265137,0.9325000047683716
