step,top_1_accuracy,top_3_accuracy,time
0,0.49880000948905945,0.8183000087738037,10.019182477678571
1,0.5960999727249146,0.8769999742507935,2.012933986527579
2,0.6292999982833862,0.9002000093460083,1.969937801361084
3,0.6628999710083008,0.9124000072479248,2.3271604095186507
4,0.6966000199317932,0.925000011920929,1.9516930409840174
5,0.7156000137329102,0.9284999966621399,1.9879578181675501
6,0.738099992275238,0.9380999803543091,2.240182110241481
7,0.7440999746322632,0.9429000020027161,1.9991741861615862
8,0.745199978351593,0.9366000294685364,1.9630180767604284
9,0.7551000118255615,0.9415000081062317,2.2560620478221347
10,0.7633000016212463,0.9495999813079834,1.9935089349746704
11,0.7612000107765198,0.9502000212669373,2.0059706483568465
12,0.7835000157356262,0.9524000287055969,2.2440970625196184
13,0.784600019454956,0.9535999894142151,2.00069066456386
14,0.7832000255584717,0.9509999752044678,1.9932031972067696
15,0.7797999978065491,0.9531000256538391,2.2391912766865323
16,0.7886999845504761,0.9587000012397766,2.0086495024817332
17,0.7775999903678894,0.9469000101089478,1.9648125341960363
18,0.7912999987602234,0.9535999894142151,2.247201085090637
19,0.7993000149726868,0.9591000080108643,1.9965338366372245
20,0.7843000292778015,0.955299973487854,1.989965285573687
21,0.7597000002861023,0.9437999725341797,2.214819278035845
22,0.8084999918937683,0.963100016117096,1.9938132762908936
23,0.8123999834060669,0.963699996471405,1.993066600390843
24,0.8029999732971191,0.9598000049591064,2.2781399488449097
25,0.7857000231742859,0.9531999826431274,1.9579730885369437
26,0.7753000259399414,0.9513000249862671,1.9922878912517004
27,0.8102999925613403,0.9607999920845032,3.1566412278584073
28,0.814300000667572,0.9653000235557556,1.9838484014783586
29,0.8141999840736389,0.9603999853134155,1.9824989693505424
30,0.8241999745368958,0.9645000100135803,2.2019187722887312
31,0.7681000232696533,0.9491999745368958,1.9817801032747542
32,0.8033000230789185,0.9625999927520752,1.9943712779453822
33,0.8148999810218811,0.9610000252723694,2.241151111466544
34,0.8324999809265137,0.9668999910354614,1.9748630012784685
35,0.8205999732017517,0.963699996471405,1.996175936290196
36,0.8069999814033508,0.9610999822616577,2.2272294078554427
37,0.803600013256073,0.9564999938011169,1.9862210069383894
38,0.828000009059906,0.9692999720573425,1.9538616112300329
39,0.8199999928474426,0.9629999995231628,2.2465601478304182
40,0.8335000276565552,0.9664999842643738,1.9860664095197404
41,0.8162000179290771,0.9625999927520752,1.9904602425439017
42,0.8335999846458435,0.9700000286102295,2.249642542430333
43,0.8047000169754028,0.9577999711036682,1.9896847009658813
44,0.838699996471405,0.9672999978065491,1.9999043260301863
45,0.8374999761581421,0.968999981880188,2.244942614010402
46,0.847000002861023,0.9715999960899353,2.0014563458306447
47,0.8478999733924866,0.9692999720573425,1.9735144887651717
48,0.8464000225067139,0.9700000286102295,2.251398069517953
49,0.828499972820282,0.9625999927520752,2.0039392369134084
50,0.8400999903678894,0.9710000157356262,2.005982756614685
51,0.8341000080108643,0.9650999903678894,2.219134586197989
52,0.8513000011444092,0.972599983215332,1.9990015540804182
53,0.838699996471405,0.9696999788284302,2.0052060229437694
54,0.8521000146865845,0.9726999998092651,2.253394603729248
55,0.8481000065803528,0.9700999855995178,2.005876728466579
56,0.8363000154495239,0.9685999751091003,1.9752792971474784
57,0.8436999917030334,0.972100019454956,2.261753490992955
58,0.8600000143051147,0.9728000164031982,2.0109193665640697
59,0.8540999889373779,0.9707000255584717,2.017191393034799
60,0.8507000207901001,0.9660999774932861,2.2593307324818204
61,0.8392000198364258,0.9666000008583069,2.021875875336783
62,0.8677999973297119,0.975600004196167,2.018601826259068
63,0.8579999804496765,0.9760000109672546,2.2825978313173567
64,0.870199978351593,0.9767000079154968,1.9816608769553048
65,0.8600999712944031,0.9760000109672546,2.0213623557771956
66,0.8598999977111816,0.9728000164031982,2.296587892941066
67,0.8532999753952026,0.9735000133514404,2.013981989451817
68,0.8654999732971191,0.9776999950408936,2.010577508381435
69,0.8666999936103821,0.972599983215332,2.256869316101074
70,0.843500018119812,0.9661999940872192,2.0061153514044627
71,0.8503000140190125,0.9729999899864197,2.01156747341156
72,0.8587999939918518,0.9713000059127808,2.278432539531163
73,0.8682000041007996,0.9751999974250793,1.9840984855379378
74,0.8700000047683716,0.9760000109672546,2.0285514763423373
75,0.8702999949455261,0.9745000004768372,2.290696518761771
76,0.8623999953269958,0.9772999882698059,2.031006234032767
77,0.8585000038146973,0.9739999771118164,1.991867286818368
78,0.8604000210762024,0.9710999727249146,2.2811093500682285
79,0.8568000197410583,0.9733999967575073,2.019724931035723
80,0.875,0.9765999913215637,2.0262814930507114
81,0.8571000099182129,0.9690999984741211,2.290841426168169
82,0.8709999918937683,0.9761999845504761,1.988283361707415
83,0.8794000148773193,0.9782000184059143,2.0354810782841275
84,0.8737000226974487,0.9789000153541565,2.2902533497129167
85,0.8780999779701233,0.9768000245094299,2.0173614536012923
86,0.8668000102043152,0.9749000072479248,1.9859238181795393
87,0.8733000159263611,0.9746000170707703,2.2938753877367293
88,0.8672999739646912,0.9763000011444092,2.0296237468719482
89,0.8647000193595886,0.9746999740600586,2.036002891404288
90,0.8777999877929688,0.9789999723434448,2.284223028591701
91,0.8809999823570251,0.9768999814987183,2.016419904572623
92,0.8840000033378601,0.9753000140190125,2.0158305168151855
93,0.8876000046730042,0.9817000031471252,2.2860465901238576
94,0.8691999912261963,0.9743000268936157,2.0336443526404246
95,0.871399998664856,0.974399983882904,1.9941110440662928
96,0.8896999955177307,0.9782999753952026,2.2943156276430403
97,0.8783000111579895,0.9787999987602234,2.027404751096453
98,0.885200023651123,0.9771999716758728,2.0127888236727034
99,0.883400022983551,0.9782999753952026,2.258602023124695
