2024-10-03 16:48:40,284 - my_logger - DEBUG - Rank 13: R0 :t0, hTrue; R1 :t0, hTrue; R2 :t0, hTrue; R3 :t0, hTrue; R4 :t0, hTrue; R5 :t0, hTrue; R6 :t0, hTrue; R7 :t0, hTrue; R8 :t0, hTrue; R9 :t2, hTrue; R10 :t0, hTrue; R11 :t0, hTrue; R12 :t0, hTrue; R13 :t1, hTrue; R14 :t0, hTrue; R15 :t0, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:42,432 - my_logger - DEBUG - Rank 13: R0 :t12, hTrue; R1 :t20, hTrue; R2 :t12, hTrue; R3 :t27, hTrue; R4 :t27, hTrue; R5 :t27, hTrue; R6 :t27, hTrue; R7 :t27, hTrue; R8 :t27, hTrue; R9 :t30, hTrue; R10 :t27, hTrue; R11 :t27, hTrue; R12 :t27, hTrue; R13 :t50, hTrue; R14 :t51, hTrue; R15 :t27, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:44,484 - my_logger - DEBUG - Rank 13: R0 :t12, hTrue; R1 :t27, hTrue; R2 :t12, hTrue; R3 :t27, hTrue; R4 :t27, hTrue; R5 :t27, hTrue; R6 :t27, hTrue; R7 :t64, hTrue; R8 :t64, hTrue; R9 :t64, hTrue; R10 :t27, hTrue; R11 :t64, hTrue; R12 :t27, hTrue; R13 :t99, hTrue; R14 :t64, hTrue; R15 :t64, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:46,542 - my_logger - DEBUG - Rank 13: R0 :t12, hTrue; R1 :t27, hTrue; R2 :t27, hTrue; R3 :t27, hTrue; R4 :t27, hTrue; R5 :t27, hTrue; R6 :t27, hTrue; R7 :t64, hTrue; R8 :t64, hTrue; R9 :t64, hTrue; R10 :t64, hTrue; R11 :t64, hTrue; R12 :t27, hTrue; R13 :t148, hTrue; R14 :t64, hTrue; R15 :t64, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:48,773 - my_logger - DEBUG - Rank 13: R0 :t27, hTrue; R1 :t27, hTrue; R2 :t64, hTrue; R3 :t64, hTrue; R4 :t64, hTrue; R5 :t64, hTrue; R6 :t64, hTrue; R7 :t101, hTrue; R8 :t101, hTrue; R9 :t101, hTrue; R10 :t101, hTrue; R11 :t101, hTrue; R12 :t64, hTrue; R13 :t197, hTrue; R14 :t101, hTrue; R15 :t101, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:51,356 - my_logger - DEBUG - Rank 13: R0 :t27, hTrue; R1 :t64, hTrue; R2 :t64, hTrue; R3 :t101, hTrue; R4 :t101, hTrue; R5 :t64, hTrue; R6 :t101, hTrue; R7 :t138, hTrue; R8 :t138, hTrue; R9 :t141, hTrue; R10 :t138, hTrue; R11 :t138, hTrue; R12 :t101, hTrue; R13 :t246, hTrue; R14 :t138, hTrue; R15 :t138, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:53,759 - my_logger - DEBUG - Rank 13: R0 :t64, hTrue; R1 :t64, hTrue; R2 :t101, hTrue; R3 :t138, hTrue; R4 :t138, hTrue; R5 :t138, hTrue; R6 :t138, hTrue; R7 :t212, hTrue; R8 :t212, hTrue; R9 :t215, hTrue; R10 :t212, hTrue; R11 :t199, hTrue; R12 :t175, hTrue; R13 :t295, hTrue; R14 :t212, hTrue; R15 :t175, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:56,163 - my_logger - DEBUG - Rank 13: R0 :t101, hTrue; R1 :t101, hTrue; R2 :t138, hTrue; R3 :t175, hTrue; R4 :t175, hTrue; R5 :t175, hTrue; R6 :t175, hTrue; R7 :t323, hTrue; R8 :t323, hTrue; R9 :t323, hTrue; R10 :t323, hTrue; R11 :t249, hTrue; R12 :t249, hTrue; R13 :t344, hTrue; R14 :t286, hTrue; R15 :t249, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:48:58,555 - my_logger - DEBUG - Rank 13: R0 :t138, hTrue; R1 :t138, hTrue; R2 :t175, hTrue; R3 :t212, hTrue; R4 :t212, hTrue; R5 :t212, hTrue; R6 :t212, hTrue; R7 :t397, hTrue; R8 :t397, hTrue; R9 :t397, hTrue; R10 :t360, hTrue; R11 :t323, hTrue; R12 :t323, hTrue; R13 :t393, hTrue; R14 :t323, hTrue; R15 :t323, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:00,947 - my_logger - DEBUG - Rank 13: R0 :t138, hTrue; R1 :t138, hTrue; R2 :t212, hTrue; R3 :t249, hTrue; R4 :t249, hTrue; R5 :t249, hTrue; R6 :t249, hTrue; R7 :t434, hTrue; R8 :t434, hTrue; R9 :t434, hTrue; R10 :t434, hTrue; R11 :t360, hTrue; R12 :t360, hTrue; R13 :t442, hTrue; R14 :t360, hTrue; R15 :t360, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:03,334 - my_logger - DEBUG - Rank 13: R0 :t175, hTrue; R1 :t175, hTrue; R2 :t249, hTrue; R3 :t286, hTrue; R4 :t286, hTrue; R5 :t249, hTrue; R6 :t286, hTrue; R7 :t471, hTrue; R8 :t471, hTrue; R9 :t471, hTrue; R10 :t471, hTrue; R11 :t397, hTrue; R12 :t397, hTrue; R13 :t491, hTrue; R14 :t397, hTrue; R15 :t397, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:05,713 - my_logger - DEBUG - Rank 13: R0 :t236, hTrue; R1 :t175, hTrue; R2 :t249, hTrue; R3 :t286, hTrue; R4 :t286, hTrue; R5 :t286, hTrue; R6 :t323, hTrue; R7 :t471, hTrue; R8 :t508, hTrue; R9 :t471, hTrue; R10 :t471, hTrue; R11 :t397, hTrue; R12 :t397, hTrue; R13 :t540, hTrue; R14 :t397, hTrue; R15 :t397, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:08,084 - my_logger - DEBUG - Rank 13: R0 :t286, hTrue; R1 :t212, hTrue; R2 :t249, hTrue; R3 :t323, hTrue; R4 :t323, hTrue; R5 :t286, hTrue; R6 :t323, hTrue; R7 :t508, hTrue; R8 :t508, hTrue; R9 :t508, hTrue; R10 :t508, hTrue; R11 :t434, hTrue; R12 :t434, hTrue; R13 :t589, hTrue; R14 :t397, hTrue; R15 :t434, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:10,457 - my_logger - DEBUG - Rank 13: R0 :t286, hTrue; R1 :t212, hTrue; R2 :t249, hTrue; R3 :t323, hTrue; R4 :t323, hTrue; R5 :t286, hTrue; R6 :t323, hTrue; R7 :t508, hTrue; R8 :t508, hTrue; R9 :t508, hTrue; R10 :t508, hTrue; R11 :t434, hTrue; R12 :t434, hTrue; R13 :t638, hTrue; R14 :t434, hTrue; R15 :t434, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:12,859 - my_logger - DEBUG - Rank 13: R0 :t286, hTrue; R1 :t212, hTrue; R2 :t249, hTrue; R3 :t360, hTrue; R4 :t323, hTrue; R5 :t323, hTrue; R6 :t360, hTrue; R7 :t508, hTrue; R8 :t545, hTrue; R9 :t545, hTrue; R10 :t545, hTrue; R11 :t458, hTrue; R12 :t471, hTrue; R13 :t687, hTrue; R14 :t471, hTrue; R15 :t434, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
2024-10-03 16:49:15,232 - my_logger - DEBUG - Rank 13: R0 :t286, hTrue; R1 :t249, hTrue; R2 :t286, hTrue; R3 :t360, hTrue; R4 :t360, hTrue; R5 :t323, hTrue; R6 :t360, hTrue; R7 :t545, hTrue; R8 :t545, hTrue; R9 :t548, hTrue; R10 :t545, hTrue; R11 :t471, hTrue; R12 :t471, hTrue; R13 :t736, hTrue; R14 :t471, hTrue; R15 :t471, hTrue; identity : 1 currentTerm : 0 votedFor : None leader_rank : 0 election_period : -1  , 
