step,top_1_accuracy,top_3_accuracy
364,0.5077999830245972,0.8252999782562256
409,0.5893999934196472,0.8730999827384949
454,0.6355000138282776,0.8934000134468079
499,0.6554999947547913,0.9122999906539917
542,0.682200014591217,0.9186000227928162
587,0.6929000020027161,0.9246000051498413
633,0.7182999849319458,0.9350000023841858
678,0.7386000156402588,0.9391999840736389
721,0.7483000159263611,0.9469000101089478
767,0.744700014591217,0.9444000124931335
812,0.7452999949455261,0.9441999793052673
858,0.7648000121116638,0.949400007724762
901,0.7565000057220459,0.944100022315979
946,0.7777000069618225,0.9509000182151794
992,0.7773000001907349,0.9532999992370605
1037,0.7825000286102295,0.9531999826431274
1083,0.7685999870300293,0.9557999968528748
1126,0.8065999746322632,0.9607999920845032
1171,0.7996000051498413,0.958299994468689
1217,0.7914000153541565,0.9524000287055969
1262,0.7924000024795532,0.9584000110626221
1305,0.7620000243186951,0.940500020980835
1351,0.7886999845504761,0.9546999931335449
1396,0.808899998664856,0.9603000283241272
1441,0.7810999751091003,0.9470000267028809
1484,0.8065000176429749,0.9585999846458435
1530,0.7666000127792358,0.9362999796867371
1575,0.7907000184059143,0.9560999870300293
1620,0.7849000096321106,0.9476000070571899
1665,0.7893000245094299,0.9545999765396118
1708,0.8058000206947327,0.963100016117096
1753,0.823199987411499,0.9650999903678894
1798,0.8019999861717224,0.9524999856948853
1843,0.8148999810218811,0.9624999761581421
1886,0.7985000014305115,0.9526000022888184
1932,0.8044999837875366,0.958899974822998
1977,0.8104000091552734,0.9567999839782715
2022,0.8105999827384949,0.9531000256538391
2066,0.8410999774932861,0.9686999917030334
2111,0.828499972820282,0.9664999842643738
2156,0.8454999923706055,0.9715999960899353
2202,0.8431000113487244,0.9704999923706055
2248,0.8574000000953674,0.9726999998092651
2291,0.8009999990463257,0.9578999876976013
2336,0.8379999995231628,0.972100019454956
2382,0.8391000032424927,0.9686999917030334
2427,0.848800003528595,0.972599983215332
2471,0.8539000153541565,0.9711999893188477
2516,0.8592000007629395,0.9731000065803528
2562,0.8486999869346619,0.9699000120162964
2608,0.8450999855995178,0.9722999930381775
2651,0.836899995803833,0.9670000076293945
2697,0.7742999792098999,0.9559999704360962
2743,0.8554999828338623,0.9733999967575073
2789,0.8604999780654907,0.9722999930381775
2835,0.8569999933242798,0.9725000262260437
2879,0.8683000206947327,0.9751999974250793
2925,0.8539000153541565,0.9721999764442444
2970,0.8583999872207642,0.975600004196167
3016,0.8511000275611877,0.9724000096321106
3060,0.8650000095367432,0.9711999893188477
3106,0.8348000049591064,0.9732000231742859
3152,0.8718000054359436,0.9746999740600586
3198,0.8682000041007996,0.9747999906539917
3241,0.8633000254631042,0.9742000102996826
3287,0.8657000064849854,0.9757999777793884
3333,0.8654999732971191,0.9757999777793884
3379,0.8411999940872192,0.9682000279426575
3426,0.8360999822616577,0.9653000235557556
3469,0.8640000224113464,0.9715999960899353
3516,0.8733000159263611,0.9753000140190125
3562,0.8675000071525574,0.9747999906539917
3608,0.8687999844551086,0.9757000207901001
3651,0.8641999959945679,0.9779999852180481
3697,0.8759999871253967,0.9760000109672546
3743,0.8733000159263611,0.9728999733924866
3790,0.8831999897956848,0.9797999858856201
3833,0.8733000159263611,0.9764999747276306
3879,0.8791000247001648,0.9779999852180481
3925,0.880299985408783,0.9772999882698059
3971,0.878600001335144,0.9781000018119812
4018,0.8816999793052673,0.978600025177002
4061,0.8852999806404114,0.979200005531311
4108,0.8784999847412109,0.9790999889373779
4153,0.8788999915122986,0.977400004863739
4200,0.8809000253677368,0.9746000170707703
4243,0.8919000029563904,0.9790999889373779
4290,0.8809000253677368,0.978600025177002
4336,0.8740000128746033,0.9805999994277954
4381,0.8644000291824341,0.9725000262260437
4425,0.878600001335144,0.9797999858856201
4471,0.8830000162124634,0.979200005531311
4518,0.8881999850273132,0.9815999865531921
4563,0.8787999749183655,0.9765999913215637
4610,0.8855000138282776,0.98089998960495
4654,0.8845999836921692,0.9782999753952026
4700,0.8851000070571899,0.9789000153541565
4745,0.8826000094413757,0.9776999950408936
4792,0.8822000026702881,0.9781000018119812
4835,0.8881000280380249,0.9797999858856201
4882,0.8914999961853027,0.9814000129699707
4927,0.8884999752044678,0.9815000295639038
4973,0.8919000029563904,0.9817000031471252
5017,0.8889999985694885,0.9796000123023987
5063,0.8792999982833862,0.9796000123023987
5110,0.8963000178337097,0.9829999804496765
5155,0.8855999708175659,0.9800999760627747
5202,0.887499988079071,0.9801999926567078
5246,0.8921999931335449,0.9812999963760376
5292,0.8819000124931335,0.9785000085830688
5338,0.8888000249862671,0.9803000092506409
5384,0.892300009727478,0.9815999865531921
5428,0.8920999765396118,0.9804999828338623
5474,0.8877999782562256,0.98089998960495
5520,0.8920999765396118,0.9836000204086304
5566,0.8956000208854675,0.9824000000953674
5610,0.8889999985694885,0.9797999858856201
5656,0.892799973487854,0.9800000190734863
5702,0.8959000110626221,0.9815000295639038
5748,0.8970000147819519,0.9794999957084656
5795,0.8973000049591064,0.9814000129699707
5838,0.8928999900817871,0.9804999828338623
5884,0.8946999907493591,0.9825999736785889
5930,0.8889999985694885,0.982200026512146
5976,0.8953999876976013,0.9817000031471252
6020,0.8999000191688538,0.9824000000953674
6066,0.8877999782562256,0.9819999933242798
6112,0.8978999853134155,0.9833999872207642
6158,0.8917999863624573,0.9817000031471252
6202,0.899399995803833,0.9830999970436096
6248,0.8985999822616577,0.9848999977111816
6294,0.8991000056266785,0.9837999939918518
6340,0.8988999724388123,0.9837999939918518
6387,0.8970000147819519,0.9824000000953674
6430,0.9004999995231628,0.9843000173568726
6476,0.9014000296592712,0.9818000197410583
6522,0.8967999815940857,0.9835000038146973
6568,0.9023000001907349,0.982200026512146
6612,0.892300009727478,0.9797999858856201
6658,0.9014999866485596,0.9843000173568726
6704,0.8968999981880188,0.9812999963760376
6750,0.902899980545044,0.9819999933242798
6794,0.8996000289916992,0.9818999767303467
6840,0.9039000272750854,0.9832000136375427
6886,0.899399995803833,0.9843999743461609
6931,0.9035000205039978,0.9828000068664551
6978,0.9004999995231628,0.9811999797821045
7021,0.8988000154495239,0.983299970626831
7067,0.9020000100135803,0.9817000031471252
7113,0.904699981212616,0.9828000068664551
7159,0.9039999842643738,0.9832000136375427
7203,0.9064000248908997,0.983299970626831
7249,0.9039000272750854,0.9836000204086304
7295,0.9052000045776367,0.982200026512146
7341,0.9020000100135803,0.9833999872207642
7384,0.9042999744415283,0.9812999963760376
7431,0.9060999751091003,0.9847000241279602
7477,0.8992000222206116,0.984000027179718
7523,0.9028000235557556,0.9833999872207642
7569,0.9028000235557556,0.9830999970436096
7613,0.904699981212616,0.983299970626831
7659,0.9027000069618225,0.9850999712944031
7705,0.9064000248908997,0.9829000234603882
7751,0.9083999991416931,0.9836999773979187
7795,0.9053000211715698,0.9847999811172485
7841,0.906000018119812,0.9840999841690063
7887,0.9071000218391418,0.9847000241279602
7933,0.9077000021934509,0.9842000007629395
7976,0.9060999751091003,0.9829999804496765
8023,0.9049000144004822,0.9804999828338623
8069,0.9049999713897705,0.9824000000953674
8115,0.9054999947547913,0.9815000295639038
8161,0.9045000076293945,0.9822999835014343
8205,0.9050999879837036,0.9807999730110168
8251,0.907800018787384,0.9854999780654907
8297,0.9064000248908997,0.9812999963760376
8343,0.9099000096321106,0.9836999773979187
8387,0.9079999923706055,0.9824000000953674
8433,0.9067999720573425,0.9832000136375427
8479,0.9083999991416931,0.9832000136375427
8525,0.9077000021934509,0.983299970626831
8569,0.9110999703407288,0.9855999946594238
8615,0.9086999893188477,0.9843999743461609
8661,0.9097999930381775,0.9830999970436096
8707,0.9126999974250793,0.9850000143051147
8754,0.9146000146865845,0.984499990940094
8797,0.9129999876022339,0.9865999817848206
8843,0.9122999906539917,0.9855999946594238
8889,0.9125999808311462,0.9858999848365784
8936,0.910099983215332,0.9830999970436096
8979,0.9136999845504761,0.9843999743461609
9026,0.9107999801635742,0.9847999811172485
9072,0.9172000288963318,0.984499990940094
9118,0.9129999876022339,0.9860000014305115
9161,0.911899983882904,0.9854000210762024
9208,0.9139000177383423,0.9851999878883362
9254,0.9147999882698059,0.9847000241279602
9300,0.9151999950408936,0.9861000180244446
9346,0.9158999919891357,0.9850999712944031
9390,0.9135000109672546,0.9843999743461609
9436,0.9156000018119812,0.9846000075340271
9482,0.9132000207901001,0.9842000007629395
9528,0.9135000109672546,0.9842000007629395
9572,0.9120000004768372,0.9854000210762024
9618,0.916100025177002,0.9858999848365784
9664,0.9132000207901001,0.9857000112533569
9710,0.9139999747276306,0.9855999946594238
9753,0.9133999943733215,0.9861000180244446
9800,0.9151999950408936,0.9850999712944031
9846,0.9140999913215637,0.9861999750137329
9892,0.9172000288963318,0.9850999712944031
9938,0.916700005531311,0.9854999780654907
9982,0.9171000123023987,0.9865000247955322
10028,0.9171000123023987,0.9861999750137329
10074,0.9169999957084656,0.9865000247955322
10121,0.9164000153541565,0.9848999977111816
10164,0.9164000153541565,0.9865999817848206
10211,0.916100025177002,0.9869999885559082
10257,0.9168000221252441,0.9865999817848206
10303,0.9168999791145325,0.9857000112533569
10347,0.9178000092506409,0.9868000149726868
10394,0.9175999760627747,0.98580002784729
10440,0.9189000129699707,0.9865000247955322
10486,0.9168999791145325,0.986299991607666
10533,0.9168999791145325,0.986299991607666
10576,0.9171000123023987,0.9860000014305115
10623,0.9168000221252441,0.9866999983787537
10669,0.9178000092506409,0.9864000082015991
10715,0.9199000000953674,0.9861000180244446
10759,0.9194999933242798,0.9864000082015991
10805,0.91839998960495,0.9860000014305115
10851,0.9192000031471252,0.9861999750137329
10898,0.917900025844574,0.9860000014305115
10942,0.9187999963760376,0.986299991607666
10988,0.9189000129699707,0.986299991607666
11034,0.9196000099182129,0.9869999885559082
11081,0.9193000197410583,0.9872999787330627
11129,0.91839998960495,0.9865000247955322
11173,0.9185000061988831,0.9876000285148621
11220,0.9185000061988831,0.9868999719619751
11267,0.9193999767303467,0.9871000051498413
11314,0.9185000061988831,0.9871000051498413
11359,0.9192000031471252,0.9868000149726868
11406,0.9204999804496765,0.9872000217437744
11452,0.9193000197410583,0.9865999817848206
11499,0.9197999835014343,0.9872000217437744
11544,0.9197999835014343,0.9872000217437744
11591,0.9186999797821045,0.9869999885559082
11638,0.9176999926567078,0.9866999983787537
11685,0.9192000031471252,0.9868000149726868
