step,top_1_accuracy,top_3_accuracy,time
0,0.3430857147489275,0.6950857170990535,2.183291060583932
1,0.3969142862728664,0.7561142870358059,2.006846070289612
2,0.442171431013516,0.7888000011444092,1.978622249194554
3,0.4646857167993273,0.801828567470823,2.043077434812273
4,0.4853714257478714,0.8155428639480046,2.063824074608939
5,0.5033142907278878,0.8274285750729697,2.166640213557652
6,0.5136000066995621,0.8337142850671496,2.2645980290004184
7,0.5330285770552499,0.8489142826625279,2.327893393380301
8,0.5400000086852482,0.8466285680021558,2.2016463450023105
9,0.549028571162905,0.8505142842020307,2.298519594328744
10,0.5536000004836491,0.8526857197284698,2.3750130449022566
11,0.5634285722460065,0.8643428555556706,2.2757037026541576
12,0.5588571386677879,0.8606857189110347,2.2397956677845547
13,0.5733714316572461,0.8656000069209507,2.3411142996379306
14,0.5868571485791888,0.8680000049727303,2.2486036845615933
15,0.579085716179439,0.8697142856461662,2.2944623061588834
16,0.5947428643703461,0.881714288677488,2.3320425237928117
17,0.583428578717368,0.8689142891338894,2.3511268411363875
18,0.5852571470396859,0.8721142922128949,2.2682812213897705
19,0.6075428553989956,0.8715428497110095,2.2876672404153005
20,0.608228577034814,0.8830857234341758,2.2537307058061873
21,0.5958857110568455,0.8704000072819846,2.309826816831316
22,0.6162285762173789,0.8880000029291425,2.2834179741995677
23,0.6188571410519736,0.8846857079437801,2.3162607635770525
24,0.6152000086648124,0.8853714295795986,2.4018294640949795
25,0.6200000090258462,0.8854857214859554,2.3794338362557546
26,0.6297142888818469,0.8910857098443168,2.392718161855425
27,0.6239999958447048,0.8897142793451037,2.186449408531189
28,0.6269714363983699,0.8945142924785614,2.3548133884157454
29,0.6404571490628379,0.8898285755089351,2.28808856010437
30,0.6395428563867297,0.8969142862728664,2.3242574759892056
31,0.6387428556169782,0.8940571418830326,2.3796455178942
32,0.6419428629534585,0.8940571461405072,2.321273309843881
33,0.6325714290142059,0.8842285743781498,2.3191774232046947
34,0.6557714343070984,0.9052571484020778,2.3460636138916016
35,0.6470857220036643,0.903428567307336,2.3306014026914323
36,0.6514285760266441,0.8932571411132812,2.348400218146188
37,0.6805714283670697,0.9058285696165902,2.2566421883446828
38,0.6585142867905753,0.8980571414743151,2.4051433801651
39,0.6596571505069733,0.8980571372168404,2.3612965685980662
40,0.6527999937534332,0.9013714279447284,2.3302823986325945
41,0.6645714300019401,0.9011428569044385,2.3196444852011546
42,0.664000004529953,0.9028571546077728,2.2906180109296526
43,0.6716571492808205,0.9058285738740649,2.391115835734776
44,0.6753142901829311,0.9012571445533207,2.344414676938738
45,0.682742851121085,0.9085714433874402,2.245948110307966
46,0.6585142740181514,0.8984000086784363,2.2651409591947282
47,0.674628564289638,0.911314287355968,2.3543776954923357
48,0.6922285727092198,0.9139428607055119,2.332869972501482
49,0.6913142928055355,0.9178285769053868,2.2347876855305264
50,0.6905142877783094,0.9086857182638985,2.4168767077582225
51,0.6933714321681431,0.9105142865862165,2.3557205200195312
52,0.6828571472849164,0.9129142803805215,2.287618466785976
53,0.6895999993596759,0.9149714240006038,2.411866409437997
54,0.7139428470815931,0.9217142845903125,2.2897549527032033
55,0.7009142935276031,0.922628573008946,2.265737090791975
56,0.7059428564139775,0.9205714336463383,2.3455553395407542
57,0.7188571478639331,0.9201142830508096,2.3222409997667586
58,0.7018285734312875,0.9148571406091962,2.3017830848693848
59,0.706628578049796,0.9243428536823818,2.386621492249625
60,0.7099428602627346,0.9227428606578282,2.2521999733788625
61,0.7165714246886117,0.922628573008946,2.3349056243896484
62,0.7272000014781952,0.9265142892088208,2.297938449042184
63,0.7208000038351331,0.9253714297498975,2.27343419619969
64,0.7214857126985278,0.9261714262621743,2.339450103896005
65,0.7196571443762098,0.9261714262621743,2.386759468487331
66,0.725600004196167,0.9301333278417587,2.257290106553298
67,0.7180307645064133,0.9281230706434983,2.9074466778681827
68,0.7324571481772831,0.9310857142720904,2.8931760787963867
69,0.7326857192175729,0.9273142857210976,2.3032602752958025
70,0.719771432025092,0.9282285783972059,2.406390905380249
71,0.7345454584468495,0.9291636401956732,2.375678757826487
72,0.7480000078678131,0.9351999998092652,4.231630802154541
73,0.7351999953389168,0.9310000017285347,3.9182865917682648
74,0.7357714346476963,0.9292571416922978,4.700784717287336
75,0.7538285723754338,0.9359999980245318,2.4065650701522827
76,0.7339428578104291,0.9297142880303519,2.29231435911996
77,0.7435428542750222,0.9365714234965188,2.369812982422965
78,0.74754284960883,0.9404571396963937,2.241515568324498
79,0.7487999967166356,0.9386285756315503,2.2292223828179494
80,0.7480000044618335,0.9419428493295398,2.382615872791835
