step,top_1_accuracy,top_3_accuracy
32674,0.5020999908447266,0.8269000053405762
41432,0.5892000198364258,0.871399998664856
50103,0.6352999806404114,0.8950999975204468
59009,0.6520000100135803,0.9089000225067139
67598,0.6748999953269958,0.9106000065803528
76339,0.6869999766349792,0.9225000143051147
85056,0.7109000086784363,0.9269000291824341
93818,0.7172999978065491,0.9301999807357788
102444,0.7382000088691711,0.9386000037193298
111230,0.7562999725341797,0.9435999989509583
119939,0.7572000026702881,0.9469000101089478
128675,0.756600022315979,0.9434999823570251
137278,0.7333999872207642,0.9358000159263611
146014,0.7226999998092651,0.9282000064849854
154734,0.7871000170707703,0.9506000280380249
163463,0.7293999791145325,0.9182000160217285
172333,0.77920001745224,0.9510999917984009
180907,0.7663999795913696,0.9474999904632568
189632,0.7994999885559082,0.9549999833106995
198345,0.7847999930381775,0.9531000256538391
207070,0.800000011920929,0.9598000049591064
215664,0.8123000264167786,0.9617000222206116
224378,0.816100001335144,0.9639000296592712
233075,0.7748000025749207,0.9492999911308289
241798,0.7412999868392944,0.9301999807357788
250389,0.8008000254631042,0.9596999883651733
259137,0.7922999858856201,0.9498000144958496
267878,0.7903000116348267,0.9556999802589417
276570,0.8181999921798706,0.9609000086784363
285434,0.8104000091552734,0.9562000036239624
294042,0.8070999979972839,0.9546999931335449
302783,0.8259000182151794,0.9639000296592712
311488,0.8075000047683716,0.9635000228881836
320246,0.7940000295639038,0.958299994468689
328857,0.847100019454956,0.97079998254776
337596,0.8266000151634216,0.9638000130653381
346327,0.8307999968528748,0.9631999731063843
355076,0.822700023651123,0.9577000141143799
363689,0.8198999762535095,0.9577000141143799
372439,0.807699978351593,0.9575999975204468
381206,0.8496999740600586,0.9710000157356262
389920,0.8458999991416931,0.972100019454956
398823,0.8503999710083008,0.9672999978065491
407452,0.8015999794006348,0.9488000273704529
416220,0.8529000282287598,0.9704999923706055
424969,0.8507000207901001,0.9739000201225281
433746,0.8422999978065491,0.9624000191688538
442389,0.8603000044822693,0.973800003528595
451173,0.8687999844551086,0.9763000011444092
459931,0.8518000245094299,0.9677000045776367
468707,0.8321999907493591,0.9664000272750854
477340,0.8687999844551086,0.9757000207901001
486146,0.8700000047683716,0.9760000109672546
494938,0.8672999739646912,0.9745000004768372
503710,0.857200026512146,0.974399983882904
512653,0.8664000034332275,0.9757000207901001
521291,0.864300012588501,0.9735999703407288
530083,0.8722000122070312,0.9782999753952026
538872,0.867900013923645,0.9757999777793884
547686,0.8701000213623047,0.9758999943733215
556341,0.8873000144958496,0.9803000092506409
565147,0.8740000128746033,0.9733999967575073
573936,0.8788999915122986,0.9779999852180481
582730,0.8726000189781189,0.9790999889373779
591399,0.8686000108718872,0.9768000245094299
600215,0.8787999749183655,0.9757999777793884
609025,0.8773000240325928,0.9778000116348267
617805,0.8654999732971191,0.9735999703407288
626782,0.8841999769210815,0.9785000085830688
635439,0.8878999948501587,0.9797000288963318
644236,0.8809999823570251,0.9785000085830688
653032,0.8871999979019165,0.9793999791145325
661850,0.8614000082015991,0.9726999998092651
670503,0.8715000152587891,0.9772999882698059
679305,0.8673999905586243,0.9779000282287598
688102,0.8881000280380249,0.9797000288963318
696909,0.8794999718666077,0.9778000116348267
