wall time,step,accuracy
1727932003.2915206,0,0.19920000433921814
1727932005.4252455,1,0.4300000071525574
1727932007.460341,2,0.531499981880188
1727932009.7292936,3,0.5852000117301941
1727932011.756204,4,0.6292999982833862
1727932013.8044906,5,0.6305000185966492
1727932016.1168315,6,0.6668999791145325
1727932018.1813126,7,0.6816999912261963
1727932020.2032816,8,0.6771000027656555
1727932022.5440412,9,0.7070000171661377
1727932024.5911605,10,0.7526999711990356
1727932026.6576278,11,0.6987000107765198
1727932028.9331508,12,0.7296000123023987
1727932030.9965813,13,0.7565000057220459
1727932033.062539,14,0.7468000054359436
1727932035.3647134,15,0.7854999899864197
1727932037.4324512,16,0.7870000004768372
1727932039.4696517,17,0.7728000283241272
1727932041.7822802,18,0.775600016117096
1727932043.8313024,19,0.7616999745368958
1727932045.8933756,20,0.7904000282287598
1727932048.1717293,21,0.7911999821662903
1727932050.2320573,22,0.7402999997138977
1727932052.2772672,23,0.8170999884605408
1727932054.603489,24,0.7975999712944031
1727932056.6341217,25,0.7946000099182129
1727932058.6772861,26,0.7817999720573425
1727932060.973243,27,0.8255000114440918
1727932063.0272121,28,0.7821999788284302
1727932065.0744593,29,0.7786999940872192
1727932067.3324516,30,0.8059999942779541
1727932069.3862169,31,0.8033000230789185
1727932071.4564686,32,0.8025000095367432
1727932073.7458296,33,0.8281000256538391
1727932075.7594008,34,0.8252999782562256
1727932077.8049605,35,0.8062999844551086
1727932080.1052444,36,0.8363000154495239
1727932082.1877356,37,0.8122000098228455
1727932084.2147467,38,0.8100000023841858
1727932086.500975,39,0.8245000243186951
1727932088.5430355,40,0.8133999705314636
1727932090.5896084,41,0.8481000065803528
1727932092.8880103,42,0.8357999920845032
1727932094.9119337,43,0.8424999713897705
1727932096.9540627,44,0.8294000029563904
1727932099.249155,45,0.8294000029563904
1727932101.301548,46,0.8051000237464905
1727932103.32426,47,0.8192999958992004
1727932105.6151173,48,0.8446000218391418
1727932107.669485,49,0.8440999984741211
