Delay (ms),Time Difference for Target Accuracy 0.89,Time Difference for Target Accuracy 0.895
0,-27.816884892787176,-27.030878699046085
1,-18.560952966415336,-13.548708361847853
2,1.7014495490816375,0.45992645787465564
3,32.6340930720613,34.08429349907843
4,20.235352678030132,30.434712744646436
5,36.704494662020245,42.96247785662212
